concord_class,baseline,project,r1,r2,r3,label,split
org.waveprotocol.box.webclient.client.StagesProvider,"apache_incubator-wave_apache_incubator-wave_org.waveprotocol.box.webclient.client599StagesProvider.code
",incubator-wave,incubator-wave_org.waveprotocol.box.webclient.client.StagesProvider_R1.json,incubator-wave_org.waveprotocol.box.webclient.client.StagesProvider_R2.json,incubator-wave_org.waveprotocol.box.webclient.client.StagesProvider_R3.json,0,train
org.apache.hadoop.hbase.protobuf.generated.RegexStringComparator,"cloud-software-foundation_c5_cloud-software-foundation_c5_org.apache.hadoop.hbase.protobuf.generated1939RegexStringComparator.code
",c5,c5_org.apache.hadoop.hbase.protobuf.generated.RegexStringComparator_R1.json,c5_org.apache.hadoop.hbase.protobuf.generated.RegexStringComparator_R2.json,c5_org.apache.hadoop.hbase.protobuf.generated.RegexStringComparator_R3.json,0,train
org.apache.reef.wake.remote.ports.RangeTcpPortProvider,"apache_incubator-reef_apache_incubator-reef_org.apache.reef.wake.remote.ports2479RangeTcpPortProvider.code
",incubator-reef,incubator-reef_org.apache.reef.wake.remote.ports.RangeTcpPortProvider_R1.json,incubator-reef_org.apache.reef.wake.remote.ports.RangeTcpPortProvider_R2.json,incubator-reef_org.apache.reef.wake.remote.ports.RangeTcpPortProvider_R3.json,0,train
io.cattle.platform.core.model.tables.ContainerEventTable,"rancherio_cattle_rancherio_cattle_io.cattle.platform.core.model.tables13ContainerEventTable.code
",cattle,cattle_io.cattle.platform.core.model.tables.ContainerEventTable_R1.json,cattle_io.cattle.platform.core.model.tables.ContainerEventTable_R2.json,cattle_io.cattle.platform.core.model.tables.ContainerEventTable_R3.json,1,train
com.google.inject.servlet.FilterChainInvocation,"google_guice_google_guice_com.google.inject.servlet1017FilterChainInvocation.code
",guice,guice_com.google.inject.servlet.FilterChainInvocation_R1.json,guice_com.google.inject.servlet.FilterChainInvocation_R2.json,guice_com.google.inject.servlet.FilterChainInvocation_R3.json,0,train
net.sf.gazpachoquest.rest.ApplicationConfig,"antoniomaria_gazpachoquest_antoniomaria_gazpachoquest_net.sf.gazpachoquest.rest392ApplicationConfig.code
",gazpachoquest,gazpachoquest_net.sf.gazpachoquest.rest.ApplicationConfig_R1.json,gazpachoquest_net.sf.gazpachoquest.rest.ApplicationConfig_R2.json,gazpachoquest_net.sf.gazpachoquest.rest.ApplicationConfig_R3.json,0,train
org.ripple.bouncycastle.asn1.ASN1Set,"cping_RipplePower_cping_RipplePower_org.ripple.bouncycastle.asn1632ASN1Set.code
",RipplePower,RipplePower_org.ripple.bouncycastle.asn1.ASN1Set_R1.json,RipplePower_org.ripple.bouncycastle.asn1.ASN1Set_R2.json,RipplePower_org.ripple.bouncycastle.asn1.ASN1Set_R3.json,0,train
com.github.steveice10.mc.protocol.packet.ingame.server.ServerAdvancementTabPacket,"Steveice10_MCProtocolLib_Steveice10_MCProtocolLib_com.github.steveice10.mc.protocol.packet.ingame.server156ServerAdvancementTabPacket.code
",MCProtocolLib,MCProtocolLib_com.github.steveice10.mc.protocol.packet.ingame.server.ServerAdvancementTabPacket_R1.json,MCProtocolLib_com.github.steveice10.mc.protocol.packet.ingame.server.ServerAdvancementTabPacket_R2.json,MCProtocolLib_com.github.steveice10.mc.protocol.packet.ingame.server.ServerAdvancementTabPacket_R3.json,0,train
consulo.dotnet.debugger.nodes.DotNetDebuggerCompilerGenerateUtil,"consulo_consulo-dotnet_consulo_consulo-dotnet_consulo.dotnet.debugger.nodes0DotNetDebuggerCompilerGenerateUtil.code
",consulo-dotnet,consulo-dotnet_consulo.dotnet.debugger.nodes.DotNetDebuggerCompilerGenerateUtil_R1.json,consulo-dotnet_consulo.dotnet.debugger.nodes.DotNetDebuggerCompilerGenerateUtil_R2.json,consulo-dotnet_consulo.dotnet.debugger.nodes.DotNetDebuggerCompilerGenerateUtil_R3.json,1,train
com.google.javascript.jscomp.JsMessageVisitor,"google_closure-compiler_google_closure-compiler_com.google.javascript.jscomp728JsMessageVisitor.code
",closure-compiler,closure-compiler_com.google.javascript.jscomp.JsMessageVisitor_R1.json,closure-compiler_com.google.javascript.jscomp.JsMessageVisitor_R2.json,closure-compiler_com.google.javascript.jscomp.JsMessageVisitor_R3.json,0,train
com.github.steveice10.mc.protocol.packet.ingame.server.entity.spawn.ServerSpawnPaintingPacket,"Steveice10_MCProtocolLib_Steveice10_MCProtocolLib_com.github.steveice10.mc.protocol.packet.ingame.server.entity.spawn213ServerSpawnPaintingPacket.code
",MCProtocolLib,MCProtocolLib_com.github.steveice10.mc.protocol.packet.ingame.server.entity.spawn.ServerSpawnPaintingPacket_R1.json,MCProtocolLib_com.github.steveice10.mc.protocol.packet.ingame.server.entity.spawn.ServerSpawnPaintingPacket_R2.json,MCProtocolLib_com.github.steveice10.mc.protocol.packet.ingame.server.entity.spawn.ServerSpawnPaintingPacket_R3.json,0,train
org.apache.mina.core.service.IoServiceStatistics,"kaazing_gateway_kaazing_gateway_org.apache.mina.core.service76IoServiceStatistics.code
",gateway,gateway_org.apache.mina.core.service.IoServiceStatistics_R1.json,gateway_org.apache.mina.core.service.IoServiceStatistics_R2.json,gateway_org.apache.mina.core.service.IoServiceStatistics_R3.json,0,train
org.obeonetwork.dsl.uml2.design.tests.plugin.manual.DeclaredServiceTests,"ObeoNetwork_UML-Designer_ObeoNetwork_UML-Designer_org.obeonetwork.dsl.uml2.design.tests.plugin.manual245DeclaredServiceTests.code
",UML-Designer,UML-Designer_org.obeonetwork.dsl.uml2.design.tests.plugin.manual.DeclaredServiceTests_R1.json,UML-Designer_org.obeonetwork.dsl.uml2.design.tests.plugin.manual.DeclaredServiceTests_R2.json,UML-Designer_org.obeonetwork.dsl.uml2.design.tests.plugin.manual.DeclaredServiceTests_R3.json,0,train
net.glowstone.util.config.WorldConfig,"GlowstoneMC_Glowstone_GlowstoneMC_Glowstone_net.glowstone.util.config1365WorldConfig.code
",Glowstone,Glowstone_net.glowstone.util.config.WorldConfig_R1.json,Glowstone_net.glowstone.util.config.WorldConfig_R2.json,Glowstone_net.glowstone.util.config.WorldConfig_R3.json,0,train
org.fenixedu.academic.domain.candidacyProcess.degreeTransfer.DegreeTransferIndividualCandidacyResultBean,"FenixEdu_fenixedu-academic_FenixEdu_fenixedu-academic_org.fenixedu.academic.domain.candidacyProcess.degreeTransfer688DegreeTransferIndividualCandidacyResultBean.code
",fenixedu-academic,fenixedu-academic_org.fenixedu.academic.domain.candidacyProcess.degreeTransfer.DegreeTransferIndividualCandidacyResultBean_R1.json,fenixedu-academic_org.fenixedu.academic.domain.candidacyProcess.degreeTransfer.DegreeTransferIndividualCandidacyResultBean_R2.json,fenixedu-academic_org.fenixedu.academic.domain.candidacyProcess.degreeTransfer.DegreeTransferIndividualCandidacyResultBean_R3.json,0,train
org.apache.mina.filter.codec.demux.SingletonMessageDecoderFactory,"kaazing_gateway_kaazing_gateway_org.apache.mina.filter.codec.demux156SingletonMessageDecoderFactory.code
",gateway,gateway_org.apache.mina.filter.codec.demux.SingletonMessageDecoderFactory_R1.json,gateway_org.apache.mina.filter.codec.demux.SingletonMessageDecoderFactory_R2.json,gateway_org.apache.mina.filter.codec.demux.SingletonMessageDecoderFactory_R3.json,0,train
org.apache.twill.internal.DefaultResourceReport,"apache_incubator-twill_apache_incubator-twill_org.apache.twill.internal134DefaultResourceReport.code
",incubator-twill,incubator-twill_org.apache.twill.internal.DefaultResourceReport_R1.json,incubator-twill_org.apache.twill.internal.DefaultResourceReport_R2.json,incubator-twill_org.apache.twill.internal.DefaultResourceReport_R3.json,0,train
com.google.javascript.jscomp.RewriteAsyncFunctions,"google_closure-compiler_google_closure-compiler_com.google.javascript.jscomp1092RewriteAsyncFunctions.code
",closure-compiler,closure-compiler_com.google.javascript.jscomp.RewriteAsyncFunctions_R1.json,closure-compiler_com.google.javascript.jscomp.RewriteAsyncFunctions_R2.json,closure-compiler_com.google.javascript.jscomp.RewriteAsyncFunctions_R3.json,0,train
org.ripple.bouncycastle.pqc.math.ntru.polynomial.LongPolynomial5,"cping_RipplePower_cping_RipplePower_org.ripple.bouncycastle.pqc.math.ntru.polynomial2592LongPolynomial5.code
",RipplePower,RipplePower_org.ripple.bouncycastle.pqc.math.ntru.polynomial.LongPolynomial5_R1.json,RipplePower_org.ripple.bouncycastle.pqc.math.ntru.polynomial.LongPolynomial5_R2.json,RipplePower_org.ripple.bouncycastle.pqc.math.ntru.polynomial.LongPolynomial5_R3.json,0,train
org.fenixedu.academic.domain.curricularRules.AnyCurricularCourse,"FenixEdu_fenixedu-academic_FenixEdu_fenixedu-academic_org.fenixedu.academic.domain.curricularRules917AnyCurricularCourse.code
",fenixedu-academic,fenixedu-academic_org.fenixedu.academic.domain.curricularRules.AnyCurricularCourse_R1.json,fenixedu-academic_org.fenixedu.academic.domain.curricularRules.AnyCurricularCourse_R2.json,fenixedu-academic_org.fenixedu.academic.domain.curricularRules.AnyCurricularCourse_R3.json,0,train
org.waveprotocol.wave.model.document.indexed.TextInserted,"apache_incubator-wave_apache_incubator-wave_org.waveprotocol.wave.model.document.indexed2368TextInserted.code
",incubator-wave,incubator-wave_org.waveprotocol.wave.model.document.indexed.TextInserted_R1.json,incubator-wave_org.waveprotocol.wave.model.document.indexed.TextInserted_R2.json,incubator-wave_org.waveprotocol.wave.model.document.indexed.TextInserted_R3.json,0,train
org.numenta.nupic.util.Slot,"numenta_htm.java_numenta_htm.java_org.numenta.nupic.util253Slot.code
",htm.java,htm.java_org.numenta.nupic.util.Slot_R1.json,htm.java_org.numenta.nupic.util.Slot_R2.json,htm.java_org.numenta.nupic.util.Slot_R3.json,0,train
net.glowstone.inventory.GlowMerchantInventory,"GlowstoneMC_Glowstone_GlowstoneMC_Glowstone_net.glowstone.inventory831GlowMerchantInventory.code
",Glowstone,Glowstone_net.glowstone.inventory.GlowMerchantInventory_R1.json,Glowstone_net.glowstone.inventory.GlowMerchantInventory_R2.json,Glowstone_net.glowstone.inventory.GlowMerchantInventory_R3.json,0,train
org.waveprotocol.wave.model.experimental.schema.Prologue,"apache_incubator-wave_apache_incubator-wave_org.waveprotocol.wave.model.experimental.schema2706Prologue.code
",incubator-wave,incubator-wave_org.waveprotocol.wave.model.experimental.schema.Prologue_R1.json,incubator-wave_org.waveprotocol.wave.model.experimental.schema.Prologue_R2.json,incubator-wave_org.waveprotocol.wave.model.experimental.schema.Prologue_R3.json,0,train
nl.hsac.fitnesse.junit.ProgressLoggerListener,"fhoeben_hsac-fitnesse-fixtures_fhoeben_hsac-fitnesse-fixtures_nl.hsac.fitnesse.junit231ProgressLoggerListener.code
",hsac-fitnesse-fixtures,hsac-fitnesse-fixtures_nl.hsac.fitnesse.junit.ProgressLoggerListener_R1.json,hsac-fitnesse-fixtures_nl.hsac.fitnesse.junit.ProgressLoggerListener_R2.json,hsac-fitnesse-fixtures_nl.hsac.fitnesse.junit.ProgressLoggerListener_R3.json,0,train
org.kaazing.gateway.transport.bio.MulticastTransport,"kaazing_gateway_kaazing_gateway_org.kaazing.gateway.transport.bio1561MulticastTransport.code
",gateway,gateway_org.kaazing.gateway.transport.bio.MulticastTransport_R1.json,gateway_org.kaazing.gateway.transport.bio.MulticastTransport_R2.json,gateway_org.kaazing.gateway.transport.bio.MulticastTransport_R3.json,0,train
dyvilx.tools.compiler.ast.bytecode.JumpInstruction,"Clashsoft_Dyvil_Clashsoft_Dyvil_dyvilx.tools.compiler.ast.bytecode173JumpInstruction.code
",Dyvil,Dyvil_dyvilx.tools.compiler.ast.bytecode.JumpInstruction_R1.json,Dyvil_dyvilx.tools.compiler.ast.bytecode.JumpInstruction_R2.json,Dyvil_dyvilx.tools.compiler.ast.bytecode.JumpInstruction_R3.json,0,train
org.fenixedu.academic.domain.student.registrationStates.InternalAbandonState,"FenixEdu_fenixedu-academic_FenixEdu_fenixedu-academic_org.fenixedu.academic.domain.student.registrationStates1588InternalAbandonState.code
",fenixedu-academic,fenixedu-academic_org.fenixedu.academic.domain.student.registrationStates.InternalAbandonState_R1.json,fenixedu-academic_org.fenixedu.academic.domain.student.registrationStates.InternalAbandonState_R2.json,fenixedu-academic_org.fenixedu.academic.domain.student.registrationStates.InternalAbandonState_R3.json,0,train
gw.lang.parser.CICS,"gosu-lang_gosu-lang_gosu-lang_gosu-lang_gw.lang.parser1855CICS.code
",gosu-lang,gosu-lang_gw.lang.parser.CICS_R1.json,gosu-lang_gw.lang.parser.CICS_R2.json,gosu-lang_gw.lang.parser.CICS_R3.json,0,train
org.ripple.power.collection.ArrayList,"cping_RipplePower_cping_RipplePower_org.ripple.power.collection2750ArrayList.code
",RipplePower,RipplePower_org.ripple.power.collection.ArrayList_R1.json,RipplePower_org.ripple.power.collection.ArrayList_R2.json,RipplePower_org.ripple.power.collection.ArrayList_R3.json,0,train
org.apache.falcon.regression.ui.search.AbstractSearchPage,"apache_falcon_apache_falcon_org.apache.falcon.regression.ui.search582AbstractSearchPage.code
",falcon,falcon_org.apache.falcon.regression.ui.search.AbstractSearchPage_R1.json,falcon_org.apache.falcon.regression.ui.search.AbstractSearchPage_R2.json,falcon_org.apache.falcon.regression.ui.search.AbstractSearchPage_R3.json,0,train
org.fenixedu.academic.domain.mobility.outbound.OutboundMobilityCandidacy,"FenixEdu_fenixedu-academic_FenixEdu_fenixedu-academic_org.fenixedu.academic.domain.mobility.outbound1076OutboundMobilityCandidacy.code
",fenixedu-academic,fenixedu-academic_org.fenixedu.academic.domain.mobility.outbound.OutboundMobilityCandidacy_R1.json,fenixedu-academic_org.fenixedu.academic.domain.mobility.outbound.OutboundMobilityCandidacy_R2.json,fenixedu-academic_org.fenixedu.academic.domain.mobility.outbound.OutboundMobilityCandidacy_R3.json,0,train
org.kaazing.k3po.driver.internal.netty.bootstrap.file.FileChannelFactory,"kaazing_k3po_kaazing_k3po_org.kaazing.k3po.driver.internal.netty.bootstrap.file329FileChannelFactory.code
",k3po,k3po_org.kaazing.k3po.driver.internal.netty.bootstrap.file.FileChannelFactory_R1.json,k3po_org.kaazing.k3po.driver.internal.netty.bootstrap.file.FileChannelFactory_R2.json,k3po_org.kaazing.k3po.driver.internal.netty.bootstrap.file.FileChannelFactory_R3.json,0,train
org.spout.vanilla.material.block.plant.WheatCrop,"SpoutDev_Vanilla_SpoutDev_Vanilla_org.spout.vanilla.material.block.plant503WheatCrop.code
",Vanilla,Vanilla_org.spout.vanilla.material.block.plant.WheatCrop_R1.json,Vanilla_org.spout.vanilla.material.block.plant.WheatCrop_R2.json,Vanilla_org.spout.vanilla.material.block.plant.WheatCrop_R3.json,0,train
magic.ui.screen.images.download.ScanWorker,"magarena_magarena_magarena_magarena_magic.ui.screen.images.download1076ScanWorker.code
",magarena,magarena_magic.ui.screen.images.download.ScanWorker_R1.json,magarena_magic.ui.screen.images.download.ScanWorker_R2.json,magarena_magic.ui.screen.images.download.ScanWorker_R3.json,0,train
org.apache.mina.core.buffer.CachedBufferAllocator,"kaazing_gateway_kaazing_gateway_org.apache.mina.core.buffer18CachedBufferAllocator.code
",gateway,gateway_org.apache.mina.core.buffer.CachedBufferAllocator_R1.json,gateway_org.apache.mina.core.buffer.CachedBufferAllocator_R2.json,gateway_org.apache.mina.core.buffer.CachedBufferAllocator_R3.json,0,train
org.waveprotocol.box.webclient.search.SearchPanelWidget,"apache_incubator-wave_apache_incubator-wave_org.waveprotocol.box.webclient.search650SearchPanelWidget.code
",incubator-wave,incubator-wave_org.waveprotocol.box.webclient.search.SearchPanelWidget_R1.json,incubator-wave_org.waveprotocol.box.webclient.search.SearchPanelWidget_R2.json,incubator-wave_org.waveprotocol.box.webclient.search.SearchPanelWidget_R3.json,0,train
com.google.javascript.jscomp.regex.Alternation,"google_closure-compiler_google_closure-compiler_com.google.javascript.jscomp.regex1705Alternation.code
",closure-compiler,closure-compiler_com.google.javascript.jscomp.regex.Alternation_R1.json,closure-compiler_com.google.javascript.jscomp.regex.Alternation_R2.json,closure-compiler_com.google.javascript.jscomp.regex.Alternation_R3.json,0,train
biz.ganttproject.core.chart.canvas.Rect,"bardsoftware_ganttproject_bardsoftware_ganttproject_biz.ganttproject.core.chart.canvas26Rect.code
",ganttproject,ganttproject_biz.ganttproject.core.chart.canvas.Rect_R1.json,ganttproject_biz.ganttproject.core.chart.canvas.Rect_R2.json,ganttproject_biz.ganttproject.core.chart.canvas.Rect_R3.json,0,train
org.fenixedu.academic.ui.struts.action.nape.candidacy.over23.Over23CandidacyDegreeBean,"FenixEdu_fenixedu-academic_FenixEdu_fenixedu-academic_org.fenixedu.academic.ui.struts.action.nape.candidacy.over233533Over23CandidacyDegreeBean.code
",fenixedu-academic,fenixedu-academic_org.fenixedu.academic.ui.struts.action.nape.candidacy.over23.Over23CandidacyDegreeBean_R1.json,fenixedu-academic_org.fenixedu.academic.ui.struts.action.nape.candidacy.over23.Over23CandidacyDegreeBean_R2.json,fenixedu-academic_org.fenixedu.academic.ui.struts.action.nape.candidacy.over23.Over23CandidacyDegreeBean_R3.json,0,train
org.apache.falcon.execution.ProcessExecutor,"apache_falcon_apache_falcon_org.apache.falcon.execution208ProcessExecutor.code
",falcon,falcon_org.apache.falcon.execution.ProcessExecutor_R1.json,falcon_org.apache.falcon.execution.ProcessExecutor_R2.json,falcon_org.apache.falcon.execution.ProcessExecutor_R3.json,0,train
com.addthis.hydra.query.FileRefCacheLoader,"addthis_hydra_addthis_hydra_com.addthis.hydra.query788FileRefCacheLoader.code
",hydra,hydra_com.addthis.hydra.query.FileRefCacheLoader_R1.json,hydra_com.addthis.hydra.query.FileRefCacheLoader_R2.json,hydra_com.addthis.hydra.query.FileRefCacheLoader_R3.json,0,train
org.apache.knox.gateway.dispatch.Wrapper,"apache_knox_apache_knox_org.apache.knox.gateway.dispatch288Wrapper.code
",knox,knox_org.apache.knox.gateway.dispatch.Wrapper_R1.json,knox_org.apache.knox.gateway.dispatch.Wrapper_R2.json,knox_org.apache.knox.gateway.dispatch.Wrapper_R3.json,0,train
org.whispersystems.textsecuregcm.storage.KeyRecord,"WhisperSystems_TextSecure-Server_WhisperSystems_TextSecure-Server_org.whispersystems.textsecuregcm.storage235KeyRecord.code
",TextSecure-Server,TextSecure-Server_org.whispersystems.textsecuregcm.storage.KeyRecord_R1.json,TextSecure-Server_org.whispersystems.textsecuregcm.storage.KeyRecord_R2.json,TextSecure-Server_org.whispersystems.textsecuregcm.storage.KeyRecord_R3.json,0,train
org.apache.reef.wake.time.runtime.event.RuntimeStart,"apache_incubator-reef_apache_incubator-reef_org.apache.reef.wake.time.runtime.event2598RuntimeStart.code
",incubator-reef,incubator-reef_org.apache.reef.wake.time.runtime.event.RuntimeStart_R1.json,incubator-reef_org.apache.reef.wake.time.runtime.event.RuntimeStart_R2.json,incubator-reef_org.apache.reef.wake.time.runtime.event.RuntimeStart_R3.json,0,train
org.kaazing.gateway.transport.ssl.bridge.filter.SslHandler,"kaazing_gateway_kaazing_gateway_org.kaazing.gateway.transport.ssl.bridge.filter2008SslHandler.code
",gateway,gateway_org.kaazing.gateway.transport.ssl.bridge.filter.SslHandler_R1.json,gateway_org.kaazing.gateway.transport.ssl.bridge.filter.SslHandler_R2.json,gateway_org.kaazing.gateway.transport.ssl.bridge.filter.SslHandler_R3.json,0,train
org.apache.reef.io.network.naming.LocalNameResolverTest,"apache_incubator-reef_apache_incubator-reef_org.apache.reef.io.network.naming737LocalNameResolverTest.code
",incubator-reef,incubator-reef_org.apache.reef.io.network.naming.LocalNameResolverTest_R1.json,incubator-reef_org.apache.reef.io.network.naming.LocalNameResolverTest_R2.json,incubator-reef_org.apache.reef.io.network.naming.LocalNameResolverTest_R3.json,0,train
com.google.javascript.jscomp.parsing.parser.trees.CatchTree,"google_closure-compiler_google_closure-compiler_com.google.javascript.jscomp.parsing.parser.trees1600CatchTree.code
",closure-compiler,closure-compiler_com.google.javascript.jscomp.parsing.parser.trees.CatchTree_R1.json,closure-compiler_com.google.javascript.jscomp.parsing.parser.trees.CatchTree_R2.json,closure-compiler_com.google.javascript.jscomp.parsing.parser.trees.CatchTree_R3.json,0,train
ch.epfl.bbp.io.LargeDirectoryIterator,"BlueBrain_bluima_BlueBrain_bluima_ch.epfl.bbp.io78LargeDirectoryIterator.code
",bluima,bluima_ch.epfl.bbp.io.LargeDirectoryIterator_R1.json,bluima_ch.epfl.bbp.io.LargeDirectoryIterator_R2.json,bluima_ch.epfl.bbp.io.LargeDirectoryIterator_R3.json,0,train
org.snpeff.interval.tree.IntervalNodeOri,"pcingola_SnpEff_pcingola_SnpEff_org.snpeff.interval.tree245IntervalNodeOri.code
",SnpEff,SnpEff_org.snpeff.interval.tree.IntervalNodeOri_R1.json,SnpEff_org.snpeff.interval.tree.IntervalNodeOri_R2.json,SnpEff_org.snpeff.interval.tree.IntervalNodeOri_R3.json,0,train
org.apache.reef.experimental.parquet.ParquetReader,"apache_incubator-reef_apache_incubator-reef_org.apache.reef.experimental.parquet485ParquetReader.code
",incubator-reef,incubator-reef_org.apache.reef.experimental.parquet.ParquetReader_R1.json,incubator-reef_org.apache.reef.experimental.parquet.ParquetReader_R2.json,incubator-reef_org.apache.reef.experimental.parquet.ParquetReader_R3.json,0,train
org.yccheok.jstock.gui.StockInfoTableModel,"yccheok_jstock_yccheok_jstock_org.yccheok.jstock.gui326StockInfoTableModel.code
",jstock,jstock_org.yccheok.jstock.gui.StockInfoTableModel_R1.json,jstock_org.yccheok.jstock.gui.StockInfoTableModel_R2.json,jstock_org.yccheok.jstock.gui.StockInfoTableModel_R3.json,0,train
org.apache.reef.runtime.common.driver.context.FailedContextImpl,"apache_incubator-reef_apache_incubator-reef_org.apache.reef.runtime.common.driver.context1116FailedContextImpl.code
",incubator-reef,incubator-reef_org.apache.reef.runtime.common.driver.context.FailedContextImpl_R1.json,incubator-reef_org.apache.reef.runtime.common.driver.context.FailedContextImpl_R2.json,incubator-reef_org.apache.reef.runtime.common.driver.context.FailedContextImpl_R3.json,0,train
org.apache.hadoop.hbase.protobuf.generated.RegionInfo,"cloud-software-foundation_c5_cloud-software-foundation_c5_org.apache.hadoop.hbase.protobuf.generated1945RegionInfo.code
",c5,c5_org.apache.hadoop.hbase.protobuf.generated.RegionInfo_R1.json,c5_org.apache.hadoop.hbase.protobuf.generated.RegionInfo_R2.json,c5_org.apache.hadoop.hbase.protobuf.generated.RegionInfo_R3.json,0,train
